#module	recipe	olean_sha256	olean_size	ilean_sha256	ilean_size	v2_olean_sha256	vs_v2	reason_class	cb_detail	ilean_vs_v2	backend	lean_wall_s	maxrss_kb
CKLaneA1.BSData.C002	plain	a525ae003bcbe9ef8f37334d0a23b3a2f9053d22aa60f3db29afa4b35ffb4c00	1039352	7f249d40eba039400ea9c3c402c60f3e0a6a9719f453bb33c897c51a43a8cce8	6669	a525ae003bcbe9ef8f37334d0a23b3a2f9053d22aa60f3db29afa4b35ffb4c00	IDENTICAL	-		IDENTICAL	cluster	135.79	6899848
CKLaneA1.BSData.C003	plain	ff92c710217ff88139f129fe46d0e0f2499b19af32a6c6c84e50b2ccc22d75ae	1227592	4a5c05133e09d081f24ff88a79dd71b91423d429bdd6fa1f35e94e27162190f4	7614	ff92c710217ff88139f129fe46d0e0f2499b19af32a6c6c84e50b2ccc22d75ae	IDENTICAL	-		IDENTICAL	workstation	300.0	9162548
CKLaneA1.BSData.C004	plain	a93217d0c97661b5800988e81e321a42cea500cfc6eb002419557b85e811018d	828824	00c2d8ccf6b6fa166467af99c445189ddc96acdbdcdcd3511d40958f1a710858	5093	a93217d0c97661b5800988e81e321a42cea500cfc6eb002419557b85e811018d	IDENTICAL	-		IDENTICAL	cluster	73.164	5110056
CKLaneA1.BSData.C005	plain	0ffe9303f52a338b24e3d693ef5a48c1b27af7fc2132dbe739cb8e7fb6b114ab	1020616	8e618a33c2c5485a361720acdf49c27672ed5871670fd1f7e1282c49f0a82970	5902	0ffe9303f52a338b24e3d693ef5a48c1b27af7fc2132dbe739cb8e7fb6b114ab	IDENTICAL	-		IDENTICAL	cluster	103.217	6153896
CKLaneA1.BSData.C006	plain	394c91dbb2b4b9d77deab6d9e2c9af2ee2e79dd4f53e7c16d0e30de9e6c8fc8d	1171440	7fba4a7799766641e9c1d65bfa435ee9b7f55d791b41781d986381e401276af6	6532	394c91dbb2b4b9d77deab6d9e2c9af2ee2e79dd4f53e7c16d0e30de9e6c8fc8d	IDENTICAL	-		IDENTICAL	cluster	111.731	6795868
CKLaneA1.BSData.C007	plain	ee1f7bd20e848eafdd31d355519c0994c349318c41b91523008ef67645156e5d	1300784	8f8b2eedd590127a89217cdc39a060913fafb49bb9405f1853a76c7286b40e74	7072	ee1f7bd20e848eafdd31d355519c0994c349318c41b91523008ef67645156e5d	IDENTICAL	-		IDENTICAL	cluster	142.817	7343424
CKLaneA1.BSData.C008	plain	07ffc46fff5b3a0ad2fdb73744e5b0264649848196bc3f3b9af9e0ae894a2d9a	1450984	93e79ec3a1bd9f272e73ec31551ba20e16135d610abbaee24cf14fbe7534d5b1	7702	07ffc46fff5b3a0ad2fdb73744e5b0264649848196bc3f3b9af9e0ae894a2d9a	IDENTICAL	-		IDENTICAL	workstation	280.0	9292488
CKLaneA1.BSFinal	plain	f984dd2fb839ea302cc20784cf22dfdeb2b43a70c7af3142ecae921494a73386	144312	9156852775163888a0754718b3dc9635add3d32fb2fdfd69b71f6c34cb47d247	9567	f984dd2fb839ea302cc20784cf22dfdeb2b43a70c7af3142ecae921494a73386	IDENTICAL	-		IDENTICAL	cluster	4.519	1626152
CKLaneA1.BSIdentities	plain	065f242e70cf5272f8b76054fe3a89c877b92f5655859972c3b6c01df773e712	2934136	b22afa512ea6a72a376a5791fee8af0f5c26dd79ae5d7eff86317299e86bc793	9732	065f242e70cf5272f8b76054fe3a89c877b92f5655859972c3b6c01df773e712	IDENTICAL	-		IDENTICAL	workstation	9.0	2950364
CKLaneA1.BSStrip	plain	78c3defd1909f4e7bfd0da08baee6515c63d079e916817556a48189a1ed9b07d	699992	55e694f1fc66731e9652f5da16e9963b979eba933bdd19316cfdc953af7342dd	28212	78c3defd1909f4e7bfd0da08baee6515c63d079e916817556a48189a1ed9b07d	IDENTICAL	-		IDENTICAL	workstation	8.0	2894096
