#family	modules	lines	bytes	sample_module	check_heads(auto)	mechanisms(textual counts)	top_external_imports
GeneralCK.PureGapDoubleCapBatchJointOwnerAdapter	1	40	1627	GeneralCK.PureGapDoubleCapBatchJointOwnerAdapter			GeneralCK.PureGapDoubleCapLowFirstFifthAssembly:1;GeneralCK.Certificates.Generated.DoubleCapMiddleAggregation:1;GeneralCK.Certificates.Generated.DoubleCapHighMiddleDerivative.All:1;GeneralCK.PureGapDoubleCapLowTailNearZeroOwnerAdapter:1
GeneralCK.PureGapDoubleCapBiasChecker	1	128	5398	GeneralCK.PureGapDoubleCapBiasChecker		rfl:2	GeneralCK.PureGapDoubleCapSlopeCertificate:1;GeneralCK.Certificates.SmallMeanSlopeBounds:1;GeneralCK.Certificates.RegularContactBounds:1;GeneralCK.CorrectionHessianNatural:1
GeneralCK.PureGapDoubleCapHighMiddleDerivativeAggregate	1	50	2273	GeneralCK.PureGapDoubleCapHighMiddleDerivativeAggregate		norm_num:3	GeneralCK.PureGapDoubleCapHighMiddleImplicitDerivativeAdapters:1;GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsActualSign:1
GeneralCK.PureGapDoubleCapHighMiddleDerivativeChecker	1	50	1939	GeneralCK.PureGapDoubleCapHighMiddleDerivativeChecker			GeneralCK.PureGapDoubleCapHighMiddleDerivativeCoverage:1;GeneralCK.ReflectionContactInverse:1
GeneralCK.PureGapDoubleCapHighMiddleDerivativeCoverage	1	74	2895	GeneralCK.PureGapDoubleCapHighMiddleDerivativeCoverage		decide:1;norm_num:4	GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsActualSign:1
GeneralCK.PureGapDoubleCapHighMiddleDerivativeIdentity	1	102	4321	GeneralCK.PureGapDoubleCapHighMiddleDerivativeIdentity			GeneralCK.PureGapDoubleCapHighMiddleDerivativeChecker:1;GeneralCK.CorrectionHessianNatural:1
GeneralCK.PureGapDoubleCapHighMiddleDerivativeOwnerAdapter	1	61	2308	GeneralCK.PureGapDoubleCapHighMiddleDerivativeOwnerAdapter		rfl:1	GeneralCK.PureGapDoubleCapHighMiddleDerivativeAggregate:1
GeneralCK.PureGapDoubleCapHighMiddleDerivativeTraceForm	1	34	1179	GeneralCK.PureGapDoubleCapHighMiddleDerivativeTraceForm			GeneralCK.PureGapDoubleCapHighMiddleDerivativeChecker:1
GeneralCK.PureGapDoubleCapHighMiddleDerivativeValueAdapter	1	64	2584	GeneralCK.PureGapDoubleCapHighMiddleDerivativeValueAdapter			GeneralCK.PureGapDoubleCapHighMiddleDerivativeOwnerAdapter:1
GeneralCK.PureGapDoubleCapHighMiddleImplicitDerivativeAdapters	1	163	6720	GeneralCK.PureGapDoubleCapHighMiddleImplicitDerivativeAdapters		rfl:4	GeneralCK.PureGapDoubleCapHighMiddleDerivativeIdentity:1;GeneralCK.EntropyComparison:1
GeneralCK.PureGapDoubleCapHighTailActualSign	1	181	7151	GeneralCK.PureGapDoubleCapHighTailActualSign		norm_num:6;rfl:1	GeneralCK.PureGapDoubleCapHighTailSign:1;GeneralCK.PureGapDoubleCapHighTailRational:1
GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsActualSign	1	163	6524	GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsActualSign		norm_num:6;rfl:1	GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsContact:1;GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsRational:1
GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsContact	1	121	4945	GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsContact		norm_num:5	GeneralCK.PureGapDoubleCapHighTailSign:1;GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsIdentity:1
GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsHybridOwnerAdapter	1	67	2960	GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsHybridOwnerAdapter		norm_num:2	GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsValue:1;GeneralCK.PureGapDoubleCapHighTailHybridOwnerAdapter:1
GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsIdentity	1	69	2658	GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsIdentity		norm_num:3	GeneralCK.PureGapDoubleCapHighTailIdentity:1
GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsRational	1	75	2947	GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsRational		norm_num:4;rfl:1	GeneralCK.PureGapDoubleCapHighTailRational:1
GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsValue	1	53	2133	GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsValue			GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsActualSign:1
GeneralCK.PureGapDoubleCapHighTailHybridOwnerAdapter	1	40	1673	GeneralCK.PureGapDoubleCapHighTailHybridOwnerAdapter		norm_num:2	GeneralCK.PureGapDoubleCapHighTailActualSign:1
GeneralCK.PureGapDoubleCapHighTailIdentity	1	157	6158	GeneralCK.PureGapDoubleCapHighTailIdentity		norm_num:3	GeneralCK.SmallMeanCapTailBounds:1;GeneralCK.ReflectionRegularContact:1;GeneralCK.ProfileBasics:1;GeneralCK.PureGapCapZeroReduction:1
GeneralCK.PureGapDoubleCapHighTailRational	1	58	2140	GeneralCK.PureGapDoubleCapHighTailRational		norm_num:4;rfl:1	GeneralCK.SmallMeanCapTailBounds:1
GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsActualSign	1	163	6445	GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsActualSign		norm_num:6;rfl:1	GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsContact:1;GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsRational:1
GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsContact	1	121	4918	GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsContact		norm_num:5	GeneralCK.PureGapDoubleCapHighTailSign:1;GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsIdentity:1
GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsHybridOwnerAdapter	1	67	2929	GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsHybridOwnerAdapter		norm_num:2	GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsValue:1;GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsHybridOwnerAdapter:1
GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsIdentity	1	71	2730	GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsIdentity		norm_num:3	GeneralCK.PureGapDoubleCapHighTailFifteenthThirtySecondsIdentity:1;GeneralCK.LowInformationMeans:1
GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsRational	1	72	2847	GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsRational		norm_num:4;rfl:1	GeneralCK.PureGapDoubleCapHighTailRational:1
GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsValue	1	53	2096	GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsValue			GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsActualSign:1
GeneralCK.PureGapDoubleCapHighTailSign	1	123	5020	GeneralCK.PureGapDoubleCapHighTailSign		norm_num:5	GeneralCK.PureGapDoubleCapOuterSlopeChecker:1;GeneralCK.PureGapDoubleCapHighTailIdentity:1;GeneralCK.PureGapDoubleCapHighTailRational:1
GeneralCK.PureGapDoubleCapLowFirstFifthAssembly	1	20	803	GeneralCK.PureGapDoubleCapLowFirstFifthAssembly			GeneralCK.PureGapDoubleCapLowTailActualSign:1;GeneralCK.Certificates.Generated.DoubleCapLowMiddleAggregation.All:1
GeneralCK.PureGapDoubleCapLowTailActualDiagonalMargin	1	24	924	GeneralCK.PureGapDoubleCapLowTailActualDiagonalMargin			GeneralCK.PureGapDoubleCapLowTailYThreeQuarters:1;GeneralCK.PureGapDoubleCapLowTailLinearSeparation:1
GeneralCK.PureGapDoubleCapLowTailActualSecant	1	117	5039	GeneralCK.PureGapDoubleCapLowTailActualSecant			GeneralCK.PureGapDoubleCapLowTailUniformSecantAlgebra:1;GeneralCK.PureGapDoubleCapLowTailContactLossSecant:1;GeneralCK.PureGapDoubleCapLowTailLinearSeparation:1
GeneralCK.PureGapDoubleCapLowTailActualSign	1	92	3948	GeneralCK.PureGapDoubleCapLowTailActualSign		rfl:1	GeneralCK.PureGapDoubleCapLowTailActualSecant:1;GeneralCK.PureGapDoubleCapOuterSlopeChecker:1
GeneralCK.PureGapDoubleCapLowTailContactGainDerivative	1	49	1796	GeneralCK.PureGapDoubleCapLowTailContactGainDerivative		norm_num:1	GeneralCK.PureGapDoubleCapLowTailActualDiagonalMargin:1;GeneralCK.Certificates.MixedConstants:1
GeneralCK.PureGapDoubleCapLowTailContactLossBridge	1	60	2364	GeneralCK.PureGapDoubleCapLowTailContactLossBridge		rfl:1	GeneralCK.PureGapDoubleCapLowTailContactGainDerivative:1
GeneralCK.PureGapDoubleCapLowTailContactLossSecant	1	65	2523	GeneralCK.PureGapDoubleCapLowTailContactLossSecant			GeneralCK.PureGapDoubleCapLowTailContactLossBridge:1;GeneralCK.PureGapDoubleCapLowTailRatioIncrement:1
GeneralCK.PureGapDoubleCapLowTailCoupling	1	162	6223	GeneralCK.PureGapDoubleCapLowTailCoupling			GeneralCK.PureGapDoubleCapSlopeCertificate:1;GeneralCK.ReflectionDiagonalPositive:1;GeneralCK.CorrectionHessianNatural:1
GeneralCK.PureGapDoubleCapLowTailDiagonalBias	1	36	1317	GeneralCK.PureGapDoubleCapLowTailDiagonalBias			GeneralCK.PureGapDoubleCapLowTailLinearSeparation:1;GeneralCK.PureGapDoubleCapOuterSlopeChecker:1;GeneralCK.SmallMeanCapTailBounds:1
GeneralCK.PureGapDoubleCapLowTailDiagonalMarginDerivative	1	49	1934	GeneralCK.PureGapDoubleCapLowTailDiagonalMarginDerivative		norm_num:1	GeneralCK.PureGapDoubleCapLowTailDiagonalBias:1;GeneralCK.SmallMeanAnalytic:1
GeneralCK.PureGapDoubleCapLowTailDiagonalMarginPositive	1	82	3382	GeneralCK.PureGapDoubleCapLowTailDiagonalMarginPositive		norm_num:3	GeneralCK.PureGapDoubleCapLowTailDiagonalMarginDerivative:1;GeneralCK.Certificates.MixedConstants:1
GeneralCK.PureGapDoubleCapLowTailDiagonalQuantitative	1	48	1857	GeneralCK.PureGapDoubleCapLowTailDiagonalQuantitative			GeneralCK.PureGapDoubleCapLowTailHighBiasAnchors:1;GeneralCK.PureGapDoubleCapLowTailDiagonalBias:1
GeneralCK.PureGapDoubleCapLowTailHalfGap	1	65	2693	GeneralCK.PureGapDoubleCapLowTailHalfGap		norm_num:5	GeneralCK.PureGapDoubleCapLowTailYThreeQuarters:1;GeneralCK.PsiNormalizedLowEntropy:1
GeneralCK.PureGapDoubleCapLowTailHighBiasAnchors	1	101	3761	GeneralCK.PureGapDoubleCapLowTailHighBiasAnchors		norm_num:7	GeneralCK.PureGapDoubleCapLowTailHalfGap:1;GeneralCK.Certificates.MixedConstants:1
GeneralCK.PureGapDoubleCapLowTailLinearSeparation	1	52	2149	GeneralCK.PureGapDoubleCapLowTailLinearSeparation			GeneralCK.PureGapDoubleCapLowTailSeparationQuotient:1
GeneralCK.PureGapDoubleCapLowTailNearZeroOwnerAdapter	1	25	903	GeneralCK.PureGapDoubleCapLowTailNearZeroOwnerAdapter		norm_num:2	GeneralCK.PureGapDoubleCapLowTailActualSign:1;GeneralCK.PureGapDoubleCapHighTailSevenSixteenthsHybridOwnerAdapter:1
GeneralCK.PureGapDoubleCapLowTailRatioIncrement	1	70	3194	GeneralCK.PureGapDoubleCapLowTailRatioIncrement			GeneralCK.PureGapDoubleCapLowTailCoupling:1
GeneralCK.PureGapDoubleCapLowTailSeparation	1	93	3683	GeneralCK.PureGapDoubleCapLowTailSeparation			GeneralCK.PureGapDoubleCapLowTailRatioIncrement:1
GeneralCK.PureGapDoubleCapLowTailSeparationQuotient	1	32	1215	GeneralCK.PureGapDoubleCapLowTailSeparationQuotient			GeneralCK.PureGapDoubleCapLowTailSeparation:1
GeneralCK.PureGapDoubleCapLowTailUniformSecantAlgebra	1	71	3014	GeneralCK.PureGapDoubleCapLowTailUniformSecantAlgebra		norm_num:7	GeneralCK.PureGapDoubleCapLowTailDiagonalQuantitative:1
GeneralCK.PureGapDoubleCapLowTailYThreeQuarters	1	31	1227	GeneralCK.PureGapDoubleCapLowTailYThreeQuarters		norm_num:6	GeneralCK.PureGapDoubleCapLowTailDiagonalMarginPositive:1;GeneralCK.PsiNormalizedLowEntropy:1
GeneralCK.PureGapDoubleCapOuterSlopeChecker	1	318	13392	GeneralCK.PureGapDoubleCapOuterSlopeChecker		norm_num:5	GeneralCK.PureGapDoubleCapSlopeCertificate:1;GeneralCK.ReflectionRegularDifference:1;GeneralCK.CorrectionHessianNatural:1
GeneralCK.PureGapDoubleCapScalarContract	1	73	2987	GeneralCK.PureGapDoubleCapScalarContract			GeneralCK.PureGapCapZeroReduction:1;GeneralCK.RadialConvexity:1
GeneralCK.PureGapDoubleCapSlopeCertificate	1	186	8291	GeneralCK.PureGapDoubleCapSlopeCertificate		norm_num:9	GeneralCK.PureGapDoubleCapScalarContract:1;GeneralCK.PhiEntropyConvexity:1;GeneralCK.PureGapE8Bridge:1
GeneralCK.PureGapEntropyRearrangement	1	153	7253	GeneralCK.PureGapEntropyRearrangement		rfl:10	GeneralCK.PureGapSymmetry:1;GeneralCK.EntropyRadialDerivatives:1;Mathlib.Analysis.Calculus.Deriv.MeanValue:1
GeneralCK.PureGapFixedEntropyClosure	1	108	5741	GeneralCK.PureGapFixedEntropyClosure			GeneralCK.PureGapCompactMean:1
GeneralCK.PureGapHalfMeanAnalytic	1	194	8387	GeneralCK.PureGapHalfMeanAnalytic		norm_num:8;rfl:1	GeneralCK.PureGapHalfMeanOwner:1;GeneralCK.ReflectionRegularDifference:1
GeneralCK.PureGapHalfMeanCurve	1	220	10138	GeneralCK.PureGapHalfMeanCurve		norm_num:2	GeneralCK.PureGapE8HalfMean:1;GeneralCK.CorrectionGlobalConvexity:1;Mathlib.Analysis.Calculus.DerivativeTest:1
GeneralCK.PureGapHalfMeanOwner	1	117	5260	GeneralCK.PureGapHalfMeanOwner		rfl:1	GeneralCK.PureGapMinimizerLedger:1;GeneralCK.PureGapHalfMeanCurve:1
GeneralCK.PureGapMeanStationarity	1	104	4840	GeneralCK.PureGapMeanStationarity		rfl:2	GeneralCK.PureGapFixedEntropyClosure:1
GeneralCK.PureGapMiddleDeterministic	1	305	13708	GeneralCK.PureGapMiddleDeterministic		norm_num:7;rfl:2	GeneralCK.PureGapE8Inverse:1;GeneralCK.RadialZeroBoundary:1;GeneralCK.RadialConcavity:1;GeneralCK.CorrectionGlobalConvexity:1
GeneralCK.PureGapMinimizerLedger	1	209	9861	GeneralCK.PureGapMinimizerLedger		norm_num:1	GeneralCK.PureGapE8OwnerClosure:1
GeneralCK.PureGapPositiveCutoffMinimizerRepair	1	210	9302	GeneralCK.PureGapPositiveCutoffMinimizerRepair		norm_num:2	GeneralCK.SmallMeanPhiRetainedCutoff:1
GeneralCK.PureGapSeamOwner	1	173	8215	GeneralCK.PureGapSeamOwner			GeneralCK.PureGapHalfMeanOwner:1
GeneralCK.PureGapSymmetry	1	189	8062	GeneralCK.PureGapSymmetry		rfl:4	GeneralCK.CorrectionBasics:1
GeneralCK.PureGapZeroCapLeftStationaryAfterNarrowMiddle	1	42	1774	GeneralCK.PureGapZeroCapLeftStationaryAfterNarrowMiddle			GeneralCK.PureGapZeroCapLeftStationaryNarrowMiddleCertified:1
GeneralCK.PureGapZeroCapLeftStationaryAnchorContacts	1	77	3529	GeneralCK.PureGapZeroCapLeftStationaryAnchorContacts		norm_num:26	GeneralCK.PureGapZeroCapLeftStationaryThetaBracketBridge:1;GeneralCK.Certificates.ZeroCapLeftStationaryLogEnclosures:1;GeneralCK.Certificates.SmallMeanBounds:1
GeneralCK.PureGapZeroCapLeftStationaryAnchorRegion	1	202	9701	GeneralCK.PureGapZeroCapLeftStationaryAnchorRegion		norm_num:23	GeneralCK.PureGapZeroCapLeftStationaryAfterNarrowMiddle:1
GeneralCK.PureGapZeroCapLeftStationaryCompactReduction	1	202	10033	GeneralCK.PureGapZeroCapLeftStationaryCompactReduction		norm_num:9	GeneralCK.PureGapZeroCapLeftStationaryRatioExclusion:1
GeneralCK.PureGapZeroCapLeftStationaryEntropyBounds	1	75	3355	GeneralCK.PureGapZeroCapLeftStationaryEntropyBounds		norm_num:15	GeneralCK.Certificates.ZeroCapLeftStationaryLogEnclosures:1;GeneralCK.Certificates.SmallMeanBounds:1;GeneralCK.PureGapCapZeroReduction:1
GeneralCK.PureGapZeroCapLeftStationaryHighAnchors	1	167	7167	GeneralCK.PureGapZeroCapLeftStationaryHighAnchors		norm_num:48	GeneralCK.PureGapZeroCapLeftStationaryLowRangeEnvelope:1
GeneralCK.PureGapZeroCapLeftStationaryHighRangeEnvelope	1	220	10403	GeneralCK.PureGapZeroCapLeftStationaryHighRangeEnvelope		norm_num:6	GeneralCK.PureGapZeroCapLeftStationaryHighAnchors:1
GeneralCK.PureGapZeroCapLeftStationaryLogIncrementTail	1	203	9172	GeneralCK.PureGapZeroCapLeftStationaryLogIncrementTail		norm_num:10	GeneralCK.PureGapZeroCapLeftStationaryCompactReduction:1;GeneralCK.MixedDerivative:1
GeneralCK.PureGapZeroCapLeftStationaryLowAnchors	1	149	6318	GeneralCK.PureGapZeroCapLeftStationaryLowAnchors		norm_num:44	GeneralCK.PureGapZeroCapLeftStationaryRayEnvelope:1
GeneralCK.PureGapZeroCapLeftStationaryLowRangeEnvelope	1	187	8638	GeneralCK.PureGapZeroCapLeftStationaryLowRangeEnvelope		norm_num:7	GeneralCK.PureGapZeroCapLeftStationaryLowAnchors:1
GeneralCK.PureGapZeroCapLeftStationaryNarrowMiddle	1	86	3602	GeneralCK.PureGapZeroCapLeftStationaryNarrowMiddle		norm_num:3	GeneralCK.PureGapMiddleDeterministic:1
GeneralCK.PureGapZeroCapLeftStationaryNarrowMiddleCertified	1	51	2160	GeneralCK.PureGapZeroCapLeftStationaryNarrowMiddleCertified		norm_num:9	GeneralCK.PureGapZeroCapLeftStationaryEntropyBounds:1;GeneralCK.PureGapZeroCapLeftStationaryRadialSlopeIntervals:1;GeneralCK.PureGapZeroCapLeftStationaryNarrowMiddle:1
GeneralCK.PureGapZeroCapLeftStationaryRadialSlopeIntervals	1	163	6708	GeneralCK.PureGapZeroCapLeftStationaryRadialSlopeIntervals		norm_num:21	GeneralCK.PureGapZeroCapLeftStationaryAnchorContacts:1;GeneralCK.Certificates.ZeroCapLeftStationaryLogEnclosures:1
GeneralCK.PureGapZeroCapLeftStationaryRatioExclusion	1	206	9796	GeneralCK.PureGapZeroCapLeftStationaryRatioExclusion		norm_num:2	GeneralCK.PureGapZeroCapLeftStationaryHighRangeEnvelope:1
GeneralCK.PureGapZeroCapLeftStationaryRayEnvelope	1	215	9793	GeneralCK.PureGapZeroCapLeftStationaryRayEnvelope		norm_num:9	GeneralCK.PureGapZeroCapLeftStationaryAnchorRegion:1
GeneralCK.PureGapZeroCapLeftStationaryThetaBracketBridge	1	75	3304	GeneralCK.PureGapZeroCapLeftStationaryThetaBracketBridge		norm_num:10	GeneralCK.PureGapMiddleDeterministic:1;GeneralCK.RadialContact:1;GeneralCK.RadialDerivatives:1
GeneralCK.PureGapZeroCapLeftUpperAfterHalfCollar	1	52	1956	GeneralCK.PureGapZeroCapLeftUpperAfterHalfCollar			GeneralCK.PureGapZeroCapLeftUpperHalfCollarC600Actual:1
GeneralCK.PureGapZeroCapLeftUpperAfterHalfCollarAndNarrow	1	34	1370	GeneralCK.PureGapZeroCapLeftUpperAfterHalfCollarAndNarrow			GeneralCK.PureGapZeroCapLeftUpperAfterHalfCollar:1;GeneralCK.PureGapZeroCapLeftUpperNarrowRectangle:1
GeneralCK.PureGapZeroCapLeftUpperHalfCollarBiasGeometry	1	48	1779	GeneralCK.PureGapZeroCapLeftUpperHalfCollarBiasGeometry			GeneralCK.PureGapZeroCapLeftUpperHalfCollarQuartic:1
GeneralCK.PureGapZeroCapLeftUpperHalfCollarEntropyJet	1	59	2849	GeneralCK.PureGapZeroCapLeftUpperHalfCollarEntropyJet		norm_num:2	GeneralCK.PureGapZeroCapLeftUpperHalfCollarLogJets:1
GeneralCK.PureGapZeroCapLeftUpperHalfCollarJetAlgebra	1	52	1731	GeneralCK.PureGapZeroCapLeftUpperHalfCollarJetAlgebra			GeneralCK.PureGapZeroCapLeftUpperHalfCollarQuartic:1
GeneralCK.PureGapZeroCapLeftUpperHalfCollarLogJets	1	157	6916	GeneralCK.PureGapZeroCapLeftUpperHalfCollarLogJets		norm_num:3	Mathlib.Analysis.SpecialFunctions.Complex.LogBounds:1;GeneralCK.PureGapZeroCapLeftUpperHalfCollarBiasGeometry:1;GeneralCK.PureGapZeroCapLeftUpperHalfCollarJetAlgebra:1
GeneralCK.PureGapZeroCapLeftUpperHalfCollarMiddleEta	1	182	8400	GeneralCK.PureGapZeroCapLeftUpperHalfCollarMiddleEta		norm_num:2	GeneralCK.PureGapZeroCapLeftUpperHalfCollarEntropyJet:1
GeneralCK.PureGapZeroCapLeftUpperHalfCollarQuartic	1	87	3624	GeneralCK.PureGapZeroCapLeftUpperHalfCollarQuartic			Mathlib.Analysis.Complex.ExponentialBounds:1;GeneralCK.PureGapZeroCapLeftUpperRadialReduction:1
GeneralCK.PureGapZeroCapLeftUpperHalfCollarRadialContactJet	1	201	9120	GeneralCK.PureGapZeroCapLeftUpperHalfCollarRadialContactJet		norm_num:3	GeneralCK.PureGapZeroCapLeftUpperHalfCollarMiddleEta:1
GeneralCK.PureGapZeroCapLeftUpperHalfCollarRadialJet	1	105	4822	GeneralCK.PureGapZeroCapLeftUpperHalfCollarRadialJet		norm_num:5	GeneralCK.PureGapZeroCapLeftUpperHalfCollarRadialContactJet:1
GeneralCK.PureGapZeroCapLeftUpperNarrowRectangle	1	208	9334	GeneralCK.PureGapZeroCapLeftUpperNarrowRectangle		norm_num:47	GeneralCK.PureGapZeroCapLeftUpperRadialReduction:1;GeneralCK.RadialConvexity:1;GeneralCK.Certificates.SmallMeanBounds:1
GeneralCK.PureGapZeroCapLeftUpperRadialReduction	1	72	3025	GeneralCK.PureGapZeroCapLeftUpperRadialReduction			GeneralCK.PureGapCapZeroReduction:1
GeneralCK.PureGapZeroCapLeftUpperWideHalfCollar	1	768	36230	GeneralCK.PureGapZeroCapLeftUpperWideHalfCollar		norm_num:13	GeneralCK.PureGapZeroCapLeftUpperAfterHalfCollarAndNarrow:1
GeneralCK.PureGapZeroCapRightHalfBoundaryRadialChart	1	34	1346	GeneralCK.PureGapZeroCapRightHalfBoundaryRadialChart			GeneralCK.PureGapZeroCapRightStationaryFullRadialChart:1
GeneralCK.PureGapZeroCapRightRadialTangentBound	1	40	1430	GeneralCK.PureGapZeroCapRightRadialTangentBound			GeneralCK.RadialConvexity:1;GeneralCK.RadialDerivatives:1;Mathlib.Tactic.Linarith:1
GeneralCK.PureGapZeroCapRightStationaryFullRadialChart	1	71	2977	GeneralCK.PureGapZeroCapRightStationaryFullRadialChart			GeneralCK.PureGapCapZeroReduction:1;GeneralCK.PureGapMeanStationarity:1
GeneralCK.RadialConcavity	1	218	10238	GeneralCK.RadialConcavity		norm_num:9	GeneralCK.RadialConvexity:1;Mathlib.Analysis.SpecialFunctions.Sqrt:1
GeneralCK.RadialContact	1	200	8722	GeneralCK.RadialContact		norm_num:3;rfl:2	GeneralCK.ProfileBasics:1
GeneralCK.RadialConvexity	1	140	6256	GeneralCK.RadialConvexity		norm_num:3;rfl:5	GeneralCK.RadialDerivatives:1;GeneralCK.EtaMonotone:1;Mathlib.Analysis.Convex.Deriv:1;Mathlib.Analysis.Convex.Jensen:1
GeneralCK.RadialDerivatives	1	226	9839	GeneralCK.RadialDerivatives		norm_num:1;rfl:1	GeneralCK.RadialContact:1;GeneralCK.ProfileDerivatives:1;GeneralCK.Certificates.MixedBounds:1
GeneralCK.RadialFourPoint	1	45	1907	GeneralCK.RadialFourPoint			GeneralCK.RadialConcavity:1;GeneralCK.BellmanAssembly:1
GeneralCK.RadialZeroBoundary	1	75	3350	GeneralCK.RadialZeroBoundary		norm_num:3	GeneralCK.RadialConvexity:1;Mathlib.Analysis.Calculus.Deriv.Slope:1
GeneralCK.Reflection	1	257	12566	GeneralCK.Reflection		rfl:5	GeneralCK.CorrectionBasics:1;GeneralCK.SmallMeanAnalytic:1;GeneralCK.PerspectiveCurve:1;GeneralCK.ReflectionContactCurvature:1
GeneralCK.ReflectionComplexContactFactor	1	166	7324	GeneralCK.ReflectionComplexContactFactor		norm_num:2	GeneralCK.ReflectionComplexContactGerm:1;Mathlib.Analysis.Analytic.Order:1
GeneralCK.ReflectionComplexContactGerm	1	158	6693	GeneralCK.ReflectionComplexContactGerm		norm_num:8;rfl:1	GeneralCK.ReflectionComplexFixedPoint:1;Mathlib.Analysis.Calculus.InverseFunctionTheorem.Analytic:1;Mathlib.Analysis.SpecialFunctions.Complex.Analytic:1
GeneralCK.ReflectionComplexCubicBound	1	200	9091	GeneralCK.ReflectionComplexCubicBound		norm_num:5	GeneralCK.ReflectionComplexContactFactor:1
GeneralCK.ReflectionComplexDiscElementary	1	145	6023	GeneralCK.ReflectionComplexDiscElementary		norm_num:7	Mathlib.Analysis.Complex.Norm:1;Mathlib.Topology.MetricSpace.Lipschitz:1
GeneralCK.ReflectionComplexEntropy	1	291	14168	GeneralCK.ReflectionComplexEntropy		norm_num:18;rfl:1	Mathlib.Analysis.SpecialFunctions.Complex.LogBounds:1;Mathlib.Analysis.Complex.ExponentialBounds:1;Mathlib.Analysis.Calculus.MeanValue:1;GeneralCK.ReflectionComplexDiscElementary:1
GeneralCK.ReflectionComplexFixedPoint	1	164	7651	GeneralCK.ReflectionComplexFixedPoint		norm_num:3	GeneralCK.ReflectionComplexEntropy:1;Mathlib.Topology.MetricSpace.Contracting:1
GeneralCK.ReflectionComplexGlobalAnalytic	1	267	12057	GeneralCK.ReflectionComplexGlobalAnalytic		norm_num:7;rfl:1	GeneralCK.ReflectionComplexCubicBound:1
GeneralCK.ReflectionComplexRealBridge	1	120	5196	GeneralCK.ReflectionComplexRealBridge		norm_num:7	GeneralCK.ReflectionComplexFixedPoint:1;GeneralCK.ReflectionContactInverse:1;GeneralCK.Certificates.SmallMeanCertificate:1
GeneralCK.ReflectionContactCurvature	1	53	2154	GeneralCK.ReflectionContactCurvature		norm_num:2	GeneralCK.PerspectiveCurve:1
GeneralCK.ReflectionContactInverse	1	132	5757	GeneralCK.ReflectionContactInverse		norm_num:4	GeneralCK.Reflection:1;GeneralCK.Certificates.ReflectionBounds:1
GeneralCK.ReflectionDiagonalPositive	1	142	6348	GeneralCK.ReflectionDiagonalPositive		norm_num:4	GeneralCK.Certificates.RegularReflectionExpressionJet:1;GeneralCK.ReflectionNormalized:1;GeneralCK.SmallMeanEstimates:1;GeneralCK.Certificates.MixedConstants:1
GeneralCK.ReflectionEndpointBridge	1	29	1165	GeneralCK.ReflectionEndpointBridge			GeneralCK.Certificates.RegularReflectionExpressionJet:1;GeneralCK.ReflectionNormalized:1
GeneralCK.ReflectionHighBiasCases	1	189	7694	GeneralCK.ReflectionHighBiasCases		norm_num:12	GeneralCK.ReflectionHighBiasLog:1;GeneralCK.ReflectionRegularContact:1;GeneralCK.Certificates.MixedConstants:1;Mathlib.Analysis.SpecialFunctions.Sqrt:1;Mathlib.Tactic.GCongr:1
