#family	modules	lines	bytes	sample_module	check_heads(auto)	mechanisms(textual counts)	top_external_imports
GeneralCK.PsiAnalyticCKClosure	1	31	1386	GeneralCK.PsiAnalyticCKClosure			GeneralCK.PsiAfterCornerClosure:1
GeneralCK.PsiBalancedMeans	1	111	5461	GeneralCK.PsiBalancedMeans		norm_num:8	GeneralCK.PsiEndpointPlaneSymmetric:1;GeneralCK.EqualMean:1
GeneralCK.PsiBoundaryAnalyticBridge	1	342	17854	GeneralCK.PsiBoundaryAnalyticBridge		norm_num:7	GeneralCK.PsiScalarOwnerCore:1
GeneralCK.PsiBoundaryLeafReplay	1	1013	50656	GeneralCK.PsiBoundaryLeafReplay		norm_num:516;rfl:50	GeneralCK.PsiScalarOwnerCore:1;Mathlib.Analysis.Complex.ExponentialBounds:1
GeneralCK.PsiCentralAnalyticClosure	1	152	7247	GeneralCK.PsiCentralAnalyticClosure			GeneralCK.PsiCompactAnalyticClosure:1;GeneralCK.PsiCentralEntropy1024:1
GeneralCK.PsiCentralEntropy#*	1	354	16707	GeneralCK.PsiCentralEntropy1024		norm_num:18;rfl:1	GeneralCK.PsiOuterEntropy200:1;GeneralCK.PsiFourRatioBridge:1;GeneralCK.PsiSmallDistanceLowEntropy:1
GeneralCK.PsiCentralFullBiasWedges	1	247	11633	GeneralCK.PsiCentralFullBiasWedges		norm_num:3	GeneralCK.PsiCentralTwentyFourWedge:1
GeneralCK.PsiCentralSixteenWedge	1	322	14568	GeneralCK.PsiCentralSixteenWedge		norm_num:44	GeneralCK.PsiThreeTenthsTail28:1
GeneralCK.PsiCentralTwentyFourWedge	1	275	12974	GeneralCK.PsiCentralTwentyFourWedge		norm_num:32	GeneralCK.PsiCentralSixteenWedge:1
GeneralCK.PsiChildEntropyCoupling	1	71	3135	GeneralCK.PsiChildEntropyCoupling			GeneralCK.PsiExtendedEntropyCurvature:1;GeneralCK.PsiSignedSplit:1
GeneralCK.PsiCompactAnalyticClosure	1	132	6537	GeneralCK.PsiCompactAnalyticClosure			GeneralCK.PsiOuterEntropy2048:1;GeneralCK.PsiExtendedRegionClosure:1;GeneralCK.PsiAffineChildCertificate:1
GeneralCK.PsiEighthBiasClosure	1	306	15107	GeneralCK.PsiEighthBiasClosure		norm_num:7	GeneralCK.PsiEntropy200Closure:1
GeneralCK.PsiEndpointBellman	1	53	2252	GeneralCK.PsiEndpointBellman			GeneralCK.PsiEndpointPlaneGlobal:1;GeneralCK.PsiLargerEntropyLaw:1;GeneralCK.PsiOppositeCornerDomain:1;GeneralCK.PsiRegionLedger:1
GeneralCK.PsiEndpointContact	1	363	16992	GeneralCK.PsiEndpointContact		norm_num:9	GeneralCK.CorrectionBasics:1
GeneralCK.PsiEndpointContactGain	1	132	5877	GeneralCK.PsiEndpointContactGain			GeneralCK.PsiEndpointContact:1;GeneralCK.PsiEndpointLogCurvature:1;GeneralCK.PsiRetainedChildBridge:1
GeneralCK.PsiEndpointLogCurvature	1	150	6819	GeneralCK.PsiEndpointLogCurvature		norm_num:17	GeneralCK.PsiEndpointLogGain:1
GeneralCK.PsiEndpointLogGain	1	59	2375	GeneralCK.PsiEndpointLogGain		norm_num:1;rfl:1	GeneralCK.PsiExtendedEntropyCurvature:1;GeneralCK.PsiSignedSplit:1
GeneralCK.PsiEndpointPlaneCoefficients	1	162	6809	GeneralCK.PsiEndpointPlaneCoefficients		norm_num:4	GeneralCK.PsiEndpointPlaneQuotientDefs:1;Mathlib.Analysis.Convex.Deriv:1;Mathlib.Analysis.SpecialFunctions.Log.NegMulLog:1
GeneralCK.PsiEndpointPlaneCoordinates	1	115	4879	GeneralCK.PsiEndpointPlaneCoordinates			GeneralCK.PsiEndpointPlaneQuotientDefs:1;GeneralCK.PsiEndpointPlaneGraph:1
GeneralCK.PsiEndpointPlaneDifferential	1	157	6887	GeneralCK.PsiEndpointPlaneDifferential			GeneralCK.PsiEndpointPlaneNoFold:1
GeneralCK.PsiEndpointPlaneGlobal	1	107	4952	GeneralCK.PsiEndpointPlaneGlobal			GeneralCK.PsiEndpointPlaneMinimum:1;GeneralCK.PsiEndpointPlaneStationary:1;GeneralCK.PsiEndpointPlaneCoordinates:1;GeneralCK.PsiEndpointPlaneCoefficients:1;GeneralCK.PsiEndpointPlaneLaw:1
GeneralCK.PsiEndpointPlaneGraph	1	208	9344	GeneralCK.PsiEndpointPlaneGraph			GeneralCK.PsiEndpointPlaneLevelUniqueness:1
GeneralCK.PsiEndpointPlaneLaw	1	92	4138	GeneralCK.PsiEndpointPlaneLaw		norm_num:1	GeneralCK.PsiEndpointPlaneQuotientDefs:1;GeneralCK.PsiEndpointContactGain:1
GeneralCK.PsiEndpointPlaneLevelUniqueness	1	109	4814	GeneralCK.PsiEndpointPlaneLevelUniqueness			GeneralCK.PsiEndpointPlaneDifferential:1;Mathlib.Analysis.Calculus.DerivativeTest:1;Mathlib.Topology.Order.Compact:1
GeneralCK.PsiEndpointPlaneMinimum	1	216	10519	GeneralCK.PsiEndpointPlaneMinimum		norm_num:1	GeneralCK.PsiEndpointPlaneQuotientDefs:1;GeneralCK.ProfileDerivatives:1;Mathlib.Topology.Order.Compact:1
GeneralCK.PsiEndpointPlaneNoFold	1	160	6513	GeneralCK.PsiEndpointPlaneNoFold		norm_num:1	Mathlib.Analysis.SpecialFunctions.Log.Deriv:1;Mathlib.Tactic.FieldSimp:1;Mathlib.Tactic.Linarith:1;Mathlib.Tactic.Ring:1;Mathlib.Tactic.NormNum:1
GeneralCK.PsiEndpointPlaneQuotientDefs	1	19	687	GeneralCK.PsiEndpointPlaneQuotientDefs			GeneralCK.LogSum:1;GeneralCK.PsiEndpointPlaneNoFold:1
GeneralCK.PsiEndpointPlaneStationary	1	142	6247	GeneralCK.PsiEndpointPlaneStationary			GeneralCK.PsiEndpointPlaneQuotientDefs:1;GeneralCK.ProfileDerivatives:1;Mathlib.Analysis.Calculus.LocalExtr.Basic:1
GeneralCK.PsiEndpointPlaneSymmetric	1	92	4163	GeneralCK.PsiEndpointPlaneSymmetric			GeneralCK.PsiEndpointPlaneGlobal:1
GeneralCK.PsiEntropy#*	1	135	6202	GeneralCK.PsiEntropy200Closure			GeneralCK.PsiOuterEntropy200:1;GeneralCK.PsiCentralAnalyticClosure:1
GeneralCK.PsiEntropySlopeVariation	1	147	6992	GeneralCK.PsiEntropySlopeVariation		norm_num:5	GeneralCK.EntropyCurvatureReduction:1;GeneralCK.PureGapHalfMeanAnalytic:1
GeneralCK.PsiExtendedEntropyCurvature	1	200	9269	GeneralCK.PsiExtendedEntropyCurvature		norm_num:8;rfl:1	GeneralCK.EntropyCurvatureReduction:1;GeneralCK.EntropyParabola:1;GeneralCK.Certificates.PilotData:1
GeneralCK.PsiExtendedRegionClosure	1	143	6910	GeneralCK.PsiExtendedRegionClosure			GeneralCK.PsiPositiveEntropyClosure:1;GeneralCK.PsiSameRatioTail24:1;GeneralCK.PsiOuterEntropyExtension:1;GeneralCK.PsiBalancedMeans:1
GeneralCK.PsiFeasibleImbalance	1	160	6422	GeneralCK.PsiFeasibleImbalance		norm_num:6	GeneralCK.PsiLogSumOwner:1
GeneralCK.PsiFifthBiasAutomaticClosure	1	222	10792	GeneralCK.PsiFifthBiasAutomaticClosure		norm_num:7	GeneralCK.PsiParentFiveGain:1
GeneralCK.PsiFifthBiasClosure	1	353	16949	GeneralCK.PsiFifthBiasClosure		norm_num:14	GeneralCK.PsiSixthBiasClosure:1
GeneralCK.PsiFourFifteenthsParentClosure	1	156	8147	GeneralCK.PsiFourFifteenthsParentClosure		norm_num:10	GeneralCK.PsiParentFiveGainExtended:1;GeneralCK.PsiRatioEightContactRefinement:1
GeneralCK.PsiFourRatioBridge	1	231	10382	GeneralCK.PsiFourRatioBridge		norm_num:37	GeneralCK.PsiEndpointPlaneSymmetric:1;GeneralCK.PsiLargerEntropyLaw:1
GeneralCK.PsiGeneralLowEntropy	1	147	6947	GeneralCK.PsiGeneralLowEntropy		norm_num:1	GeneralCK.PsiFourRatioBridge:1;GeneralCK.PsiSmallDistanceLowEntropy:1;GeneralCK.PsiLowEntropyBias:1;GeneralCK.PsiEndpointBellman:1
GeneralCK.PsiLargerEntropyLaw	1	118	5886	GeneralCK.PsiLargerEntropyLaw			GeneralCK.PsiLargerEntropyRedesign:1;GeneralCK.PsiParentDominance:1
GeneralCK.PsiLargerEntropyRedesign	1	162	7542	GeneralCK.PsiLargerEntropyRedesign		norm_num:4	GeneralCK.PsiLowEntropyRedesign:1
GeneralCK.PsiLogSumOwner	1	138	6170	GeneralCK.PsiLogSumOwner			GeneralCK.PsiRegionLedger:1;GeneralCK.LogSum:1
GeneralCK.PsiLowEntropyBias	1	114	4647	GeneralCK.PsiLowEntropyBias		norm_num:19	GeneralCK.PsiParentPhiFloor:1;GeneralCK.PsiParentDominance:1
GeneralCK.PsiLowEntropyLeafReplay	1	955	47223	GeneralCK.PsiLowEntropyLeafReplay		norm_num:233;rfl:5	GeneralCK.PsiScalarOwnerCore:1;GeneralCK.EtaMonotone:1;GeneralCK.Certificates.LogBounds:1
GeneralCK.PsiLowEntropyRedesign	1	145	7099	GeneralCK.PsiLowEntropyRedesign		norm_num:1	GeneralCK.PsiParentEntropyGain:1;GeneralCK.PsiRadialDeficit:1;GeneralCK.PsiChildEntropyCoupling:1;GeneralCK.PsiSplitLossBound:1;GeneralCK.PsiEntropySlopeVariation:1
GeneralCK.PsiModerateEntropy	1	269	14003	GeneralCK.PsiModerateEntropy		norm_num:6	GeneralCK.PsiEndpointBellman:1
GeneralCK.PsiNormalizedLowEntropy	1	800	34841	GeneralCK.PsiNormalizedLowEntropy		norm_num:102;rfl:3	GeneralCK.PsiBoundaryAnalyticBridge:1;GeneralCK.Certificates.LogBounds:1;GeneralCK.EntropyParabola:1;GeneralCK.EntropyComparison:1;GeneralCK.ProfileConvexity:1
GeneralCK.PsiOppositeBoundaryOwner	1	227	10286	GeneralCK.PsiOppositeBoundaryOwner	enh:1;enhanced:1	decide:1;norm_num:87;rfl:1	GeneralCK.PsiBoundaryLeafReplay:1;GeneralCK.PsiBoundaryAnalyticBridge:1;GeneralCK.PsiEndpointBellman:1
GeneralCK.PsiOppositeCornerDomain	1	70	3047	GeneralCK.PsiOppositeCornerDomain		norm_num:9	GeneralCK.PsiRegionLedger:1;GeneralCK.PsiRetainedChildBridge:1
